Format Version,0.1,,,,,,,,,,,,,,,,,
Headers,l1 l2 l3 l4 l5 l6 l7 l8 SampleTemp Date Prototype Optics CellType Cell Drug Conc Test Folder NPoints,,,,,,,,,,,,,,,,,
Data Types,20.18f 20.18f 20.18f 20.18f 20.18f 20.18f 20.18f 20.18f f s s s s s s s s s s,,,,,,,,,,,,,,,,,
Model Version,4,,,,,,,,,,,,,,,,,
Interpolator,poly,,,,,,,,,,,,,,,,,
Model Complete,0,,,,,,,,,,,,,,,,,
Date,26/03/2018 13:32,,,,,,,,,,,,,,,,,
Enclosing Folder,G:\Team Drives\Data\Veriphi\2018\3. March\Helium\Pane Matching (Thick Set),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
l1,l2,l3,l4,l5,l6,l7,l8,SampleTemp,Date,Prototype,Optics,CellType,Cell,Drug,Conc,Test,Folder,NPoints
0.190374775,0.831509639,3.101659417,1.208565757,0.63885491,0.620004494,0.758543074,1.12110103,21.169719,180321-1134 Saline Elite-1-2 1,Helium,,Elite-1,2,Saline,9,1,,0
0.19037362,0.831559769,3.091968255,1.208572398,0.638870724,0.620033912,0.758656245,1.120826756,21.168693,180321-1135 Saline Elite-1-2 2,Helium,,Elite-1,2,Saline,9,2,,0
0.190407697,0.831612197,3.083641137,1.208568471,0.638907699,0.620062336,0.758619245,1.121242125,21.168804,180321-1136 Saline Elite-1-2 3,Helium,,Elite-1,2,Saline,9,3,,0
0.190450495,0.831690231,3.095992495,1.208568667,0.638906599,0.620098517,0.758637011,1.121042731,21.168516,180321-1137 Saline Elite-1-2 4,Helium,,Elite-1,2,Saline,9,4,,0
0.190395778,0.831654169,3.095270415,1.208578016,0.638932544,0.620126106,0.758648327,1.120802331,21.168979,180321-1137 Saline Elite-1-2 5,Helium,,Elite-1,2,Saline,9,5,,0
0.190444692,0.83166303,3.088915336,1.208599336,0.638929668,0.620116507,0.758688583,1.121111078,21.169507,180321-1138 Saline Elite-1-2 6,Helium,,Elite-1,2,Saline,9,6,,0
0.190456158,0.831772581,3.086262187,1.208582783,0.638949994,0.620115103,0.758650348,1.121307884,21.169945,180321-1139 Saline Elite-1-2 7,Helium,,Elite-1,2,Saline,9,7,,0
0.190455356,0.831781081,3.096343432,1.208581582,0.638927254,0.620135724,0.758617081,1.121242714,21.170344,180321-1140 Saline Elite-1-2 8,Helium,,Elite-1,2,Saline,9,8,,0
0.190403187,0.831755765,3.100019178,1.208591538,0.638940315,0.620112194,0.75863524,1.120985736,21.172608,180321-1141 Saline Elite-1-2 10,Helium,,Elite-1,2,Saline,9,10,,0
0.1905018,0.831768902,3.097253833,1.208566469,0.638947856,0.620186761,0.758648539,1.121181159,21.171123,180321-1141 Saline Elite-1-2 9,Helium,,Elite-1,2,Saline,9,9,,0
0.190553942,0.831842821,3.090412815,1.20862179,0.638972822,0.620154979,0.758689298,1.121299988,21.173502,180321-1142 Saline Elite-1-2 11,Helium,,Elite-1,2,Saline,9,11,,0
0.190594119,0.831965936,3.085958922,1.208717764,0.639085298,0.620337997,0.758768103,1.121492145,21.174952,180321-1143 Saline Elite-1-2 12,Helium,,Elite-1,2,Saline,9,12,,0
0.190613472,0.831932943,3.099551573,1.208610628,0.639027099,0.620275364,0.758672044,1.121974216,21.176479,180321-1144 Saline Elite-1-2 13,Helium,,Elite-1,2,Saline,9,13,,0
0.190579575,0.831917834,3.095194951,1.208598799,0.638995976,0.620235052,0.758670282,1.121411502,21.177194,180321-1144 Saline Elite-1-2 14,Helium,,Elite-1,2,Saline,9,14,,0
0.190447919,0.831884698,3.088713315,1.208544375,0.638948527,0.620193401,0.758409874,1.121159126,21.178956,180321-1145 Saline Elite-1-2 15,Helium,,Elite-1,2,Saline,9,15,,0
0.190431256,0.831775753,3.102428467,1.208589029,0.638868611,0.620059322,0.758751214,1.120897019,21.204247,180321-1153 Saline Elite-2-2 1,Helium,,Elite-2,2,Saline,9,1,,0
0.190380806,0.831711774,3.088574557,1.208665308,0.638935724,0.620075099,0.758769952,1.121355762,21.195976,180321-1153 Saline Elite-2-2 2,Helium,,Elite-2,2,Saline,9,2,,0
0.190415497,0.831736902,3.087811878,1.208649578,0.6389807,0.620105073,0.758844954,1.121400221,21.188948,180321-1154 Saline Elite-2-2 3,Helium,,Elite-2,2,Saline,9,3,,0
0.190409864,0.831715823,3.095166209,1.208646824,0.638979287,0.620118756,0.758792299,1.121266216,21.183921,180321-1155 Saline Elite-2-2 4,Helium,,Elite-2,2,Saline,9,4,,0
0.190441077,0.831789881,3.102798149,1.208681977,0.639008855,0.620161021,0.758790468,1.120731093,21.179762,180321-1156 Saline Elite-2-2 5,Helium,,Elite-2,2,Saline,9,5,,0
0.190422776,0.831814796,3.09189671,1.208708333,0.638965368,0.620168145,0.758736274,1.121089506,21.177115,180321-1156 Saline Elite-2-2 6,Helium,,Elite-2,2,Saline,9,6,,0
0.190438294,0.831778363,3.093160429,1.208710566,0.639004536,0.620176863,0.758817554,1.120490918,21.17447,180321-1157 Saline Elite-2-2 7,Helium,,Elite-2,2,Saline,9,7,,0
0.190384831,0.831772155,3.100255259,1.208758003,0.638992114,0.62017646,0.758716097,1.121233867,21.172739,180321-1158 Saline Elite-2-2 8,Helium,,Elite-2,2,Saline,9,8,,0
0.190421676,0.831803415,3.093024824,1.20876545,0.63901322,0.620161764,0.758705848,1.120481796,21.171016,180321-1159 Saline Elite-2-2 9,Helium,,Elite-2,2,Saline,9,9,,0
0.190443296,0.831828186,3.096596998,1.208746715,0.638994929,0.620191582,0.758721234,1.121346673,21.171685,180321-1200 Saline Elite-2-2 10,Helium,,Elite-2,2,Saline,9,10,,0
0.190402348,0.831860192,3.097215098,1.208750049,0.639020686,0.620224396,0.758688181,1.120530092,21.171727,180321-1200 Saline Elite-2-2 11,Helium,,Elite-2,2,Saline,9,11,,0
