Cell,SampleTemp,total thick,l1,l2,l3,l4,l5,l6,l7,l8
3,21.478975,3.0165000,0.190708426,0.833696646,3.10001127,1.206533915,0.638082056,0.619368542,0.75800388,1.123593686
3,21.46978,3.0165000,0.190766306,0.833853056,3.092442484,1.206625448,0.638142272,0.619386324,0.75844304,1.123244933
3,21.460306,3.0165000,0.190923621,0.833976731,3.090894637,1.206627815,0.638201709,0.619406344,0.759144504,1.12315621
3,21.452355,3.0165000,0.190811427,0.833986322,3.091821996,1.206686023,0.638247261,0.619473997,0.759265329,1.12302119
3,21.445808,3.0165000,0.190918702,0.834119539,3.097777212,1.206685107,0.63827166,0.619545232,0.759197918,1.12331496
3,21.438673,3.0165000,0.191020916,0.834176578,3.092175491,1.206756799,0.638316578,0.619640299,0.759380512,1.123284729
3,21.432292,3.0165000,0.190891837,0.834081676,3.095213115,1.206814746,0.638312428,0.619617045,0.75924296,1.123175299
3,21.426593,3.0165000,0.19100722,0.834169899,3.092748638,1.206902286,0.638382258,0.619659249,0.759218854,1.12329598
3,21.420199,3.0165000,0.19099061,0.834150131,3.093651835,1.206950427,0.638390151,0.619713349,0.759157577,1.123421121
3,21.415176,3.0165000,0.190947838,0.834020808,3.095349168,1.206931925,0.638405031,0.619758296,0.759139755,1.123028122
3,21.409824,3.0165000,0.190894642,0.83392026,0,1.20698401,0.638411951,0.619759216,0.759037608,1.123416084
3,21.406698,3.0165000,0.190912757,0.834043622,0,1.207054229,0.638446274,0.619760331,0.758928792,1.123128571
3,21.403284,3.0165000,0.190894568,0.833892764,3.097338441,1.207052024,0.638478118,0.619771455,0.758989015,1.123035384
3,21.400262,3.0165000,0.19091386,0.833872215,3.089609752,1.207099095,0.638458586,0.619788975,0.758963813,1.123164444
3,21.396573,3.0165000,0.190946399,0.833880145,3.095784713,1.207091755,0.638487252,0.619786534,0.758916868,1.123075371
3,21.395069,3.0165000,0.190957308,0.833892098,3.090666797,1.207165767,0.638515065,0.619863539,0.759044392,1.123209908
3,21.392098,3.0165000,0.190882155,0.833773159,3.091565742,1.207218072,0.638528097,0.619797629,0.759075402,1.123148376
3,21.390416,3.0165000,0.191005932,0.834009947,3.093471874,1.207216669,0.638573393,0.619860683,0.759051211,1.123260567
3,21.38941,3.0165000,0.191007268,0.833958769,3.091007786,1.207244096,0.638539224,0.619883635,0.759040555,1.123130842
3,21.387089,3.0165000,0.191023386,0.833879907,3.092931373,1.207256082,0.638581971,0.619877801,0.759057025,1.123567989
3,21.385563,3.0165000,0.190923338,0.833776157,3.093748784,1.207278115,0.638582169,0.619904284,0.759108754,1.123153529
3,21.38385,3.0165000,0.191014658,0.833863726,3.103133685,1.207309925,0.638580942,0.619906596,0.75903889,1.123288857
3,21.381666,3.0165000,0.190992659,0.833808798,3.107601716,1.20728883,0.638603611,0.619944187,0.759077777,1.123040551
3,21.380319,3.0165000,0.191026328,0.833851937,3.082302057,1.207373935,0.638599053,0.61994817,0.759144752,1.123199081
3,21.379358,3.0165000,0.190968232,0.833775898,3.085633702,1.207376952,0.638605196,0.619934192,0.759120663,1.122931384
3,21.378345,3.0165000,0.190955182,0.833784727,3.094542373,1.207405284,0.638635768,0.619960047,0.75915188,1.123312534
3,21.376721,3.0165000,0.191000725,0.833779194,3.096453707,1.207438892,0.638613456,0.619941685,0.759083539,1.123000835
