l1,l2,l3,l4,l5,l6,l7,l8,SampleTemp,Date,Prototype,Optics,CellType,Cell,Drug,Conc,Test,Folder,NPoints
0.191254155,0.831866684,3.101868831,1.208232681,0.639259562,0.620575484,0.759518828,1.123190639,21.239977,180226-1638 Saline Elite-1-1 1,Helium,,Elite-1,1,Saline,9,1,,0
0.191189632,0.832264386,3.097718753,1.208201795,0.639201803,0.620453417,0.759337533,1.1225174,21.239283,180226-1639 Saline Elite-1-1 2,Helium,,Elite-1,1,Saline,9,2,,0
0.19166916,0.832775476,3.097378226,1.208509308,0.639667296,0.620941874,0.759887246,1.122757981,21.239187,180226-1639 Saline Elite-1-1 3,Helium,,Elite-1,1,Saline,9,3,,0
0.19128096,0.83184565,3.092197055,1.208281388,0.639315274,0.620583177,0.759489353,1.122633457,21.240017,180226-1640 Saline Elite-1-1 4,Helium,,Elite-1,1,Saline,9,4,,0
0.191359772,0.832824386,3.094928646,1.208178524,0.639270869,0.620571306,0.759494708,1.122360498,21.240494,180226-1641 Saline Elite-1-1 5,Helium,,Elite-1,1,Saline,9,5,,0
0.19139766,0.833085873,3.099914676,1.208238812,0.639310642,0.620612737,0.759543153,1.122512404,21.239952,180226-1642 Saline Elite-1-1 6,Helium,,Elite-1,1,Saline,9,6,,0
0.191391453,0.832895006,3.106564021,1.208237016,0.639338984,0.620655432,0.759602188,1.122588376,21.24035,180226-1643 Saline Elite-1-1 7,Helium,,Elite-1,1,Saline,9,7,,0
0.191309102,0.832578088,3.09480846,1.20819956,0.63931754,0.620596059,0.759461918,1.122596376,21.240777,180226-1643 Saline Elite-1-1 8,Helium,,Elite-1,1,Saline,9,8,,0
0.191441207,0.832790396,3.096801304,1.20810224,0.639323441,0.620680383,0.759627771,1.122398169,21.241775,180226-1644 Saline Elite-1-1 9,Helium,,Elite-1,1,Saline,9,9,,0
0.193649576,0.834935066,3.094903374,1.210373362,0.641548769,0.622849641,0.761819004,1.124560435,21.241803,180226-1645 Saline Elite-1-1 10,Helium,,Elite-1,1,Saline,9,10,,0
0.191531943,0.833250239,3.093053605,1.208595411,0.639692729,0.621007053,0.759809887,1.122762217,21.242964,180226-1646 Saline Elite-1-1 11,Helium,,Elite-1,1,Saline,9,11,,0
0.191208599,0.832395609,3.091387167,1.208236089,0.639345976,0.620674615,0.759484966,1.122412723,21.243259,180226-1646 Saline Elite-1-1 12,Helium,,Elite-1,1,Saline,9,12,,0
0.191407059,0.832876553,3.090359837,1.208213829,0.639303278,0.620654367,0.759628194,1.122472861,21.244161,180226-1647 Saline Elite-1-1 13,Helium,,Elite-1,1,Saline,9,13,,0
0.191408544,0.832883853,3.097123634,1.208177867,0.639363051,0.620759569,0.759636398,1.122330264,21.244512,180226-1648 Saline Elite-1-1 14,Helium,,Elite-1,1,Saline,9,14,,0
0.191403929,0.831884149,3.090588245,1.208104089,0.63934648,0.620725855,0.759534849,1.12275324,21.24595,180226-1649 Saline Elite-1-1 15,Helium,,Elite-1,1,Saline,9,15,,0
0.191325731,0.83237644,3.094098839,1.208308761,0.639354638,0.620704765,0.75959263,1.122601811,21.24677,180226-1650 Saline Elite-1-1 16,Helium,,Elite-1,1,Saline,9,16,,0
0.191386146,0.832326525,3.085241672,1.208251049,0.639387809,0.620779109,0.759599272,1.123164271,21.248906,180226-1650 Saline Elite-1-1 17,Helium,,Elite-1,1,Saline,9,17,,0
0.191230329,0.832323781,3.099974551,1.208179917,0.639353213,0.620689763,0.759528023,1.122351531,21.249982,180226-1651 Saline Elite-1-1 18,Helium,,Elite-1,1,Saline,9,18,,0
0.191338743,0.832139541,3.087839139,1.208132191,0.63932418,0.620683942,0.759575463,1.122633479,21.25155,180226-1652 Saline Elite-1-1 19,Helium,,Elite-1,1,Saline,9,19,,0
0.191242764,0.832111714,3.094631584,1.208198927,0.639339287,0.62064685,0.759516317,1.122301909,21.252943,180226-1653 Saline Elite-1-1 20,Helium,,Elite-1,1,Saline,9,20,,0
0.19137193,0.832776757,3.085130441,1.208097819,0.639320671,0.620696374,0.759521191,1.122645703,21.254763,180226-1653 Saline Elite-1-1 21,Helium,,Elite-1,1,Saline,9,21,,0
0.191329752,0.8331136,3.090417677,1.20819228,0.639324043,0.620695391,0.759506483,1.122850615,21.256003,180226-1654 Saline Elite-1-1 22,Helium,,Elite-1,1,Saline,9,22,,0
0.191355629,0.833113112,3.09491707,1.208056588,0.639344094,0.620724004,0.759668041,1.123062553,21.258188,180226-1655 Saline Elite-1-1 23,Helium,,Elite-1,1,Saline,9,23,,0
0.191416136,0.832156226,3.098705053,1.208155601,0.639335018,0.620728928,0.759665003,1.122573038,21.259658,180226-1656 Saline Elite-1-1 24,Helium,,Elite-1,1,Saline,9,24,,0
0.191341758,0.832206173,0,1.208146047,0.639357781,0.620689892,0.759603675,1.122453762,21.260431,180226-1657 Saline Elite-1-1 25,Helium,,Elite-1,1,Saline,9,25,,0
0.191393451,0.832646093,3.098814537,1.208136007,0.639285351,0.620697814,0.759521186,1.122451702,21.262875,180226-1657 Saline Elite-1-1 26,Helium,,Elite-1,1,Saline,9,26,,0
0.191345937,0.832156802,3.088992772,1.2080536,0.639322747,0.62073615,0.759564522,1.122544944,21.264406,180226-1658 Saline Elite-1-1 27,Helium,,Elite-1,1,Saline,9,27,,0
0.191431606,0.832827291,3.094764686,1.208089824,0.639366494,0.620804026,0.759599688,1.123003866,21.265696,180226-1659 Saline Elite-1-1 28,Helium,,Elite-1,1,Saline,9,28,,0
0.191513129,0.832786519,3.09963648,1.208039857,0.639251636,0.620716472,0.75946369,1.122652399,21.267993,180226-1700 Saline Elite-1-1 29,Helium,,Elite-1,1,Saline,9,29,,0
0.191443923,0.83244392,3.093815909,1.208067696,0.639284381,0.620686083,0.759562952,1.122949246,21.269152,180226-1700 Saline Elite-1-1 30,Helium,,Elite-1,1,Saline,9,30,,0
0.191295582,0.832283417,3.08576937,1.208054413,0.639327723,0.620636209,0.759525583,1.122671675,21.27147,180226-1701 Saline Elite-1-1 31,Helium,,Elite-1,1,Saline,9,31,,0
0.191412921,0.832454375,3.099401773,1.208081057,0.639346265,0.620732279,0.759602974,1.122752384,21.273394,180226-1702 Saline Elite-1-1 32,Helium,,Elite-1,1,Saline,9,32,,0
0.191458751,0.832821059,3.089158647,1.208117451,0.639365911,0.62073158,0.759583871,1.122600411,21.275008,180226-1703 Saline Elite-1-1 33,Helium,,Elite-1,1,Saline,9,33,,0
0.19153894,0.833012516,3.096770175,1.20812374,0.639408062,0.620818899,0.759706195,1.122389939,21.277148,180226-1704 Saline Elite-1-1 34,Helium,,Elite-1,1,Saline,9,34,,0
0.191382917,0.832279854,3.096087284,1.208185159,0.639426638,0.620842199,0.759760455,1.122568731,21.278906,180226-1704 Saline Elite-1-1 35,Helium,,Elite-1,1,Saline,9,35,,0
0.190637485,0.832473587,3.090725146,1.207815864,0.638324606,0.619535034,0.758280038,1.121457998,21.320103,180226-1450 Saline Elite-1-2 1,Helium,,Elite-1,2,Saline,9,1,,0
0.190605478,0.832418295,3.096194795,1.207811067,0.63837978,0.61955937,0.758207497,1.121194001,21.319191,180226-1451 Saline Elite-1-2 2,Helium,,Elite-1,2,Saline,9,2,,0
0.190636939,0.832455496,3.088692474,1.207845676,0.638404903,0.619573632,0.758307482,1.121032899,21.318082,180226-1451 Saline Elite-1-2 3,Helium,,Elite-1,2,Saline,9,3,,0
0.190710967,0.832602639,3.100883234,1.207858561,0.638423954,0.619571299,0.75826668,1.120849501,21.3165,180226-1452 Saline Elite-1-2 4,Helium,,Elite-1,2,Saline,9,4,,0
0.1906467,0.832538296,3.092329574,1.207911477,0.638418319,0.619620267,0.758233937,1.121211696,21.31591,180226-1453 Saline Elite-1-2 5,Helium,,Elite-1,2,Saline,9,5,,0
0.190620696,0.832509547,3.095033487,1.207899139,0.638438197,0.619606345,0.75793364,1.120957872,21.316234,180226-1454 Saline Elite-1-2 6,Helium,,Elite-1,2,Saline,9,6,,0
0.190706729,0.832720009,3.088922307,1.207939815,0.638423454,0.619671842,0.75821493,1.121157052,21.315553,180226-1454 Saline Elite-1-2 7,Helium,,Elite-1,2,Saline,9,7,,0
0.190688005,0.83262032,3.084160261,1.207843025,0.638480797,0.619659811,0.7582321,1.121088351,21.31558,180226-1455 Saline Elite-1-2 8,Helium,,Elite-1,2,Saline,9,8,,0
0.190759361,0.832693434,3.098609301,1.207844894,0.63848562,0.619679933,0.758385523,1.121310671,21.314487,180226-1456 Saline Elite-1-2 9,Helium,,Elite-1,2,Saline,9,9,,0
0.190799382,0.832759067,3.09426355,1.207893917,0.638439656,0.619708303,0.758410069,1.121031749,21.314921,180226-1457 Saline Elite-1-2 10,Helium,,Elite-1,2,Saline,9,10,,0
0.190770791,0.832768803,3.09038379,1.207934242,0.638477676,0.619727563,0.758415693,1.121401578,21.314032,180226-1458 Saline Elite-1-2 11,Helium,,Elite-1,2,Saline,9,11,,0
0.190771505,0.832781619,3.097968136,1.207889718,0.638467814,0.619688246,0.758382008,1.121508981,21.312859,180226-1458 Saline Elite-1-2 12,Helium,,Elite-1,2,Saline,9,12,,0
0.190711894,0.832687006,3.09812708,1.207894299,0.638456212,0.619715568,0.758337424,1.121296809,21.312097,180226-1459 Saline Elite-1-2 13,Helium,,Elite-1,2,Saline,9,13,,0
0.190792838,0.832797825,3.090861345,1.207858922,0.638470114,0.619743191,0.75844563,1.120977898,21.31166,180226-1500 Saline Elite-1-2 14,Helium,,Elite-1,2,Saline,9,14,,0
0.190798433,0.832731784,3.102510749,1.207938078,0.638485699,0.619675202,0.758377722,1.121309145,21.310598,180226-1501 Saline Elite-1-2 15,Helium,,Elite-1,2,Saline,9,15,,0
0.190776531,0.832761506,3.093800022,1.207894319,0.63847781,0.619746628,0.758333006,1.12133943,21.310435,180226-1501 Saline Elite-1-2 16,Helium,,Elite-1,2,Saline,9,16,,0
0.190770128,0.832776618,3.102343724,1.207934634,0.638463223,0.61970776,0.758294296,1.121282392,21.310607,180226-1502 Saline Elite-1-2 17,Helium,,Elite-1,2,Saline,9,17,,0
0.190713669,0.832675431,3.093921717,1.20793239,0.638479928,0.619687189,0.758371113,1.120953509,21.310193,180226-1503 Saline Elite-1-2 18,Helium,,Elite-1,2,Saline,9,18,,0
0.1907466,0.832747602,3.095490961,1.207891214,0.638442755,0.619722526,0.758328092,1.121140426,21.310288,180226-1504 Saline Elite-1-2 19,Helium,,Elite-1,2,Saline,9,19,,0
0.190746043,0.832772928,3.0946272,1.207869921,0.638476322,0.61974231,0.758333608,1.120892988,21.309951,180226-1505 Saline Elite-1-2 20,Helium,,Elite-1,2,Saline,9,20,,0
0.190755096,0.83270281,3.100237559,1.207886259,0.638477368,0.619682452,0.758365752,1.121234257,21.310339,180226-1505 Saline Elite-1-2 21,Helium,,Elite-1,2,Saline,9,21,,0
0.190784832,0.832712402,0,1.207921681,0.638482723,0.61970339,0.758367216,1.120957121,21.310923,180226-1506 Saline Elite-1-2 22,Helium,,Elite-1,2,Saline,9,22,,0
0.190751142,0.832718775,3.096789183,1.207900766,0.63848722,0.619711644,0.75828203,1.12096221,21.311301,180226-1507 Saline Elite-1-2 23,Helium,,Elite-1,2,Saline,9,23,,0
0.190891918,0.832867774,3.092901461,1.207862455,0.638499921,0.619794335,0.75842066,1.121510989,21.311091,180226-1508 Saline Elite-1-2 24,Helium,,Elite-1,2,Saline,9,24,,0
0.190715674,0.832711627,3.089601602,1.207966244,0.638456773,0.619755859,0.758332428,1.121012371,21.312276,180226-1508 Saline Elite-1-2 25,Helium,,Elite-1,2,Saline,9,25,,0
0.190750296,0.832742296,3.09812308,1.207894532,0.638475594,0.619752043,0.758305863,1.120866802,21.312585,180226-1509 Saline Elite-1-2 26,Helium,,Elite-1,2,Saline,9,26,,0
0.190750484,0.83275894,3.094860135,1.207903931,0.638509115,0.619734168,0.758355063,1.121048141,21.313286,180226-1510 Saline Elite-1-2 27,Helium,,Elite-1,2,Saline,9,27,,0
0.190767921,0.832740225,3.094614488,1.20792746,0.638477115,0.619722982,0.758337687,1.121166378,21.314038,180226-1511 Saline Elite-1-2 28,Helium,,Elite-1,2,Saline,9,28,,0
0.190794947,0.832817975,3.099379968,1.207896367,0.638496562,0.619786019,0.758392358,1.121201339,21.314699,180226-1512 Saline Elite-1-2 29,Helium,,Elite-1,2,Saline,9,29,,0
0.190755281,0.83274266,3.08894061,1.2078829,0.638458314,0.619719051,0.758366739,1.120877254,21.316297,180226-1512 Saline Elite-1-2 30,Helium,,Elite-1,2,Saline,9,30,,0
0.190820457,0.832775613,3.095664663,1.207925148,0.63849886,0.619773414,0.758382385,1.121230205,21.316672,180226-1513 Saline Elite-1-2 31,Helium,,Elite-1,2,Saline,9,31,,0
0.190729501,0.832736397,3.084855093,1.207938469,0.638521189,0.61975448,0.758382188,1.121209171,21.316969,180226-1514 Saline Elite-1-2 32,Helium,,Elite-1,2,Saline,9,32,,0
0.190760412,0.832805229,3.086138006,1.207878239,0.638481514,0.619777447,0.758313684,1.121083883,21.317662,180226-1515 Saline Elite-1-2 33,Helium,,Elite-1,2,Saline,9,33,,0
0.190715653,0.832775223,3.100764073,1.207965706,0.638471319,0.61978029,0.758331017,1.120998908,21.319585,180226-1515 Saline Elite-1-2 34,Helium,,Elite-1,2,Saline,9,34,,0
0.190754714,0.832753269,0,1.207814451,0.63847599,0.619729392,0.758297684,1.120904567,21.320279,180226-1516 Saline Elite-1-2 35,Helium,,Elite-1,2,Saline,9,35,,0
0.190708426,0.833696646,3.10001127,1.206533915,0.638082056,0.619368542,0.75800388,1.123593686,21.478975,180227-0956 Saline Elite-1-3 1,Helium,,Elite-1,3,Saline,9,1,,0
0.190766306,0.833853056,3.092442484,1.206625448,0.638142272,0.619386324,0.75844304,1.123244933,21.46978,180227-0957 Saline Elite-1-3 2,Helium,,Elite-1,3,Saline,9,2,,0
0.190923621,0.833976731,3.090894637,1.206627815,0.638201709,0.619406344,0.759144504,1.12315621,21.460306,180227-0957 Saline Elite-1-3 3,Helium,,Elite-1,3,Saline,9,3,,0
0.190811427,0.833986322,3.091821996,1.206686023,0.638247261,0.619473997,0.759265329,1.12302119,21.452355,180227-0958 Saline Elite-1-3 4,Helium,,Elite-1,3,Saline,9,4,,0
0.190918702,0.834119539,3.097777212,1.206685107,0.63827166,0.619545232,0.759197918,1.12331496,21.445808,180227-0959 Saline Elite-1-3 5,Helium,,Elite-1,3,Saline,9,5,,0
0.191020916,0.834176578,3.092175491,1.206756799,0.638316578,0.619640299,0.759380512,1.123284729,21.438673,180227-1000 Saline Elite-1-3 6,Helium,,Elite-1,3,Saline,9,6,,0
0.190891837,0.834081676,3.095213115,1.206814746,0.638312428,0.619617045,0.75924296,1.123175299,21.432292,180227-1000 Saline Elite-1-3 7,Helium,,Elite-1,3,Saline,9,7,,0
0.19100722,0.834169899,3.092748638,1.206902286,0.638382258,0.619659249,0.759218854,1.12329598,21.426593,180227-1001 Saline Elite-1-3 8,Helium,,Elite-1,3,Saline,9,8,,0
0.19099061,0.834150131,3.093651835,1.206950427,0.638390151,0.619713349,0.759157577,1.123421121,21.420199,180227-1002 Saline Elite-1-3 9,Helium,,Elite-1,3,Saline,9,9,,0
0.190947838,0.834020808,3.095349168,1.206931925,0.638405031,0.619758296,0.759139755,1.123028122,21.415176,180227-1003 Saline Elite-1-3 10,Helium,,Elite-1,3,Saline,9,10,,0
0.190894642,0.83392026,0,1.20698401,0.638411951,0.619759216,0.759037608,1.123416084,21.409824,180227-1004 Saline Elite-1-3 11,Helium,,Elite-1,3,Saline,9,11,,0
0.190912757,0.834043622,0,1.207054229,0.638446274,0.619760331,0.758928792,1.123128571,21.406698,180227-1004 Saline Elite-1-3 12,Helium,,Elite-1,3,Saline,9,12,,0
0.190894568,0.833892764,3.097338441,1.207052024,0.638478118,0.619771455,0.758989015,1.123035384,21.403284,180227-1005 Saline Elite-1-3 13,Helium,,Elite-1,3,Saline,9,13,,0
0.19091386,0.833872215,3.089609752,1.207099095,0.638458586,0.619788975,0.758963813,1.123164444,21.400262,180227-1006 Saline Elite-1-3 14,Helium,,Elite-1,3,Saline,9,14,,0
