cell	pane	thickness
3	f	3.017
3	b	3.016
4	f	3.017
4	b	3.017
5	f	3.017
5	b	3.017
6	f	3.017
6	b	3.016
7	f	3.017
7	b	3.017
8	f	3.017
8	b	3.017
9	f	3.017
9	b	3.017
10	f	3.017
10	b	3.017
11	f	3.017
11	b	3.017
12	f	3.019
12	b	3.017
13	f	3.018
13	b	3.018
14	f	3.018
14	b	3.019
15	f	3.018
15	b	3.018
16	f	2.998
16	b	2.998
17	f	2.998
17	b	2.998
18	f	2.998
18	b	2.998
19	f	2.998
19	b	3
20	f	2.998
20	b	2.998
21	f	2.998
21	b	2.998
22	f	2.998
22	b	2.998
23	f	2.999
23	b	2.998
24	f	2.999
24	b	2.998
25	f	2.998
25	b	2.998
